ProductCode;AlcoholValueRatio;AlcoholPercentage
290301;13.07;40%
11336901;17.5;40%
8357201;26.25;40%
11495802;27.44;40%
11495702;26.46;40%
12228201;19.16;41%
13864201;24.36;41%
14249701;30.66;41%
1077401;null;0%
10517801;22.65;47.3%
14121401;25.08;43%
14121601;21.09;43%
14121501;18.6;43%
441101;75;40%
647901;29.64;40%
10279101;20;13%
295101;89.21;13%
11475401;92.09;13.1%
14701701;41.02;13%
14701601;51.27;13%
4762801;21.1;12%
3434601;26.66;12.5%
5875701;36.53;13.5%
14701801;48.19;13%
14702101;30.92;12.5%
295801;90.25;13%
11475101;88.88;13.5%
5875401;38.96;13%
11475205;81.91;12.9%
10277201;70.7;13.2%
14701901;30.39;12.5%
432401;27.87;11%
12660701;21.1;12%
432301;19.99;12%
7961601;26.66;12.5%
862101;39.99;9%
11930801;26.66;12.5%
10061301;19.43;12%
10907301;23.32;12%
7657302;26.22;7.5%
10990502;29.75;6%
505602;26.1;8%
490902;28.96;7%
490802;33;5.5%
14136601;30.46;7%
14136701;32.36;7%
3186801;32.37;14%
14359002;102.4;12.5%
14358601;54.35;13%
14358801;61.53;13%
14358901;42.66;12.5%
14358701;57.13;14%
12691201;21.79;11.5%
3403602;29;4.9%
1749502;19.71;6.3%
5033202;23.18;5.1%
14866601;26.66;13%
15533601;32.04;13.5%
12986701;37.7;13.5%
14464001;36.39;13.5%
15532301;38.91;13.5%
15531801;31.06;11.5%
15530601;34.65;12.5%
15533501;27.84;12.5%
15530501;38.91;13.5%
15530801;39.06;13.5%
14463901;24.47;13.5%
10905801;23.58;13%
12987101;25.51;13.5%
13578402;28.1;10.5%
11496902;22.68;10%
12470802;24.27;7.5%
12470602;51.26;10.4%
12470702;49.38;10.8%
15489702;27.75;9%
10961802;22.73;8%
11937702;26.99;8%
15282402;27.44;12%
10491202;24.54;7.4%
12309102;22.67;12%
14794102;28.84;5.5%
14219202;27.6;7%
11492102;29.73;6.1%
10490702;20.25;9%
12930502;32.16;6%
10008502;20.68;11%
10490802;25.42;7.6%
15404002;27.23;10%
10491002;21.88;8.3%
12278502;32.8;8.3%
14415701;23.51;8.5%
14415801;23.51;8.5%
13541502;38.28;12%
12015601;30.76;13%
8240001;25.49;12.5%
14472701;59.98;13%
15534601;49.62;13%
15534701;63.57;13%
15347901;36.16;12.5%
15347501;36.16;12.5%
14473001;40.81;13%
15534501;44.66;12.5%
13361301;19.55;15%
12485601;27.14;13.5%
551201;35.08;5.5%
900401;31.24;6.5%
1832701;32.31;6.8%
630201;40.8;10.5%
10120601;37.65;11%
7712201;34.09;12%
3967301;33.62;6%
10120402;33.22;9%
2239101;29;7.1%
15225801;19.59;43%
14050002;24.11;60%
14050102;24.11;60%
10346906;11.01;13.5%
11270901;9.51;14%
13288501;54.57;50%
13718601;56.85;50%
15621502;33.08;6%
15621401;41.01;5.7%
10142102;34.7;6%
14757702;28.9;5.6%
10070502;32.03;6.5%
11419702;21.15;10%
15621304;64.37;15%
14557201;14.92;43%
13866102;22.69;6.5%
14816802;42.26;7.5%
14816902;45.05;7.5%
15067502;45.5;6.5%
15633202;34.21;10.5%
12499602;28.37;6%
14189501;11.69;12.5%
14092501;79.1;13.3%
14052802;29.09;15%
14744904;38.5;15.7%
14745104;36.49;13.8%
15149802;30.22;14%
15071402;27.47;11%
15071602;33.33;6.8%
5404702;31.81;40%
15146901;18.57;40%
13672901;25.47;11.5%
13672501;26.62;14%
13673001;24.39;12.5%
13672701;24.51;13%
13672601;22.72;14%
12041301;151.92;13.5%
14346101;78.99;13.5%
14394801;78.98;13.5%
14913301;222.99;14.5%
14913201;187.56;13.5%
14969101;127.41;13.5%
15018405;128.4;13.5%
639502;17.18;32%
9525301;17.03;32%
12689202;17.93;32%
639503;30.28;32%
639501;17.63;32%
12820001;21.17;17%
12820101;21.17;17%
12819901;21.17;17%
9596802;23.2;9%
12934201;13.58;11%
12301901;21.34;42%
6947501;21.52;14.5%
10070701;22.11;12%
5497501;19.7;11.5%
4293901;14.88;12.5%
5467401;19;30%
1523901;22.95;13%
1524001;22.54;13%
14675901;32.96;12.5%
15560301;36.16;12.5%
14676101;34.03;12.5%
15560101;37.31;12.5%
14675401;31.67;13%
1759201;33.32;12%
14675501;36.16;12.5%
15560401;37.23;12.5%
15560701;48.1;13%
15560601;53.23;13%
14675801;66.56;13%
14675601;66.56;13%
15559801;67.59;13%
15560001;57.33;13%
15560801;74.77;13%
14675701;38.29;12.5%
14676001;51.18;13%
15560501;57.33;13%
15560201;64.51;13%
15559901;74.77;13%
15633102;51.06;6%
15633002;51.06;6%
5921701;21.81;14%
2243901;23.49;13%
4321201;26.85;13.5%
3453201;25.42;14%
4321105;36.11;12%
4321101;30.21;12%
3453101;34.99;12%
5624602;82.4;11%
283101;25.91;12.5%
13750501;56.31;13%
5609401;60.69;12.5%
14594801;34.02;12.5%
13394201;30.93;14%
5351301;34.32;5.8%
11891701;33.14;6.8%
15454601;73.59;12.5%
15454801;62.92;12.5%
15454901;92.79;12.5%
14209102;28.1;13%
14209302;28.1;13%
13471702;25.91;7%
15092302;30.22;11%
10820202;29.23;6.2%
12608601;30.77;12%
12873402;30.96;6%
12865202;30.96;6%
12865302;30.96;6%
14221602;22.71;21%
8072302;28.9;6.5%
12407702;30.96;6%
15120001;17.01;14%
13842101;92.99;12%
11861901;73.32;12%
9105101;51.66;12%
11915601;55.54;12%
11915701;82.21;12%
744306;11.92;12%
744301;18.88;12%
1456406;11.92;12.5%
746001;17.43;13%
15015901;17.14;35%
8309301;15.03;38%
10835601;14.28;40%
15465401;16.78;20%
8325901;14.36;37.5%
14027001;77.81;12.5%
14257301;106.62;12.5%
13069102;34.79;14%
13069001;20.85;13.5%
1291202;26.7;8.5%
1291302;28.37;8%
10777602;29.25;45.6%
14083201;12.21;12%
436006;11.66;12%
13509106;12.64;12.5%
14861402;33.41;41%
8355401;23.46;59%
8300801;86.32;13.9%
14088901;26.21;43%
15180401;24.81;46%
6233801;23.2;46%
6230701;25.31;46%
6227001;23.2;46%
11260401;24.19;46%
11260301;20.27;43%
12582201;25.85;43%
8355601;24.57;46%
8265901;84.5;14.2%
8265701;82.34;13.6%
13688402;32.44;40%
14581301;17.28;40%
6018301;16.72;41%
15350902;21.45;40%
13717302;28.78;40.3%
12196802;19.47;40%
14981502;20.3;40%
12193501;20.5;13%
12202101;19.99;14%
14185906;7.66;14.5%
12945001;15.99;12.5%
15458801;23.29;46%
15458701;27.95;46%
13798901;38.45;13%
5413601;18.09;12.5%
1607301;14.28;40%
7928002;19.49;40%
7627401;47.81;12%
11910001;15.19;14%
11909901;16.45;13%
11930901;14.67;14.5%
7270205;20.83;12.5%
5193701;15.5;12.5%
13226501;12.88;12%
13226506;10.41;12%
7901201;32.64;14.5%
7900901;32;12.5%
12300006;14.13;12.5%
10332701;21.92;11.5%
12807901;29.73;13%
10923101;42.46;13.5%
10923201;28.71;13%
10923301;32.3;13%
14627201;21.1;12%
7310201;18.08;11.5%
11096201;22.76;7%
7319801;14.99;12%
11096101;22.76;7%
13956601;17.77;12%
13956701;17.77;12%
14401201;52.58;12.4%
14401301;66.06;13.1%
14401101;49.15;13.4%
13048204;22.18;11%
12816404;21.45;11%
13317204;24.9;8%
13317304;24.9;8%
12816504;21.45;11%
13919001;38.16;14.5%
11198501;23.33;14%
15126601;23.33;14%
11198401;18.97;13%
14531701;33.85;16.5%
9480302;31.33;6.5%
10554801;34.16;46%
10554601;52.76;46%
374606;11.11;13.5%
13755201;47.99;12.5%
13755101;42.85;14%
11370701;33.64;13%
8163101;39.69;12.9%
13252701;33.77;12.2%
8163501;62.25;13.9%
8162901;31.79;11.7%
14392806;11.97;12.5%
14392706;10.64;12.5%
14519201;31.99;10%
14169101;16.92;13%
4834601;31.33;14%
10013101;35.55;13.5%
2226201;19.04;14%
14110601;50.58;15%
14700101;51.31;14%
14110401;28.54;13.5%
13906501;34.57;14%
9825101;16.92;13%
4778101;16.88;15%
4592301;39.98;6%
12639701;16.78;13.5%
4592101;43.61;5.5%
11743001;22.21;12%
11742701;21.66;12%
11856001;21.1;12%
13208301;24.99;12%
11742901;19.99;12%
13209001;25.5;11.5%
14375901;21.2;11%
5539405;36.52;15.5%
11493201;20;14%
5123301;19.04;14%
12941201;19.48;13%
15482707;22.56;13%
15482501;21.74;13%
15482405;22.05;13%
14379501;31.27;13%
7729001;22.71;13.5%
12817001;24.68;13.5%
12872301;23.99;12.5%
148101;55.23;14%
13540001;69.03;13.5%
13540101;67.05;13.5%
14356807;49.36;13.5%
14356701;59.14;13.5%
14356605;59.2;13.5%
14093201;78.82;13.5%
13540201;78.81;13.5%
13539901;29.51;13.5%
11284501;20.5;13%
12458407;41.38;14.5%
12566707;37.36;14.5%
5936205;50.57;14.5%
5936201;34.93;14.5%
9966801;58.66;15%
10760105;57.76;15%
9213201;18.12;12.5%
1026205;22.98;14.5%
1026201;20.22;14.5%
12147601;19.74;13.5%
10954301;17.06;12.5%
11159301;16.66;12%
15091701;41.3;14%
15091501;37.96;13%
15091601;31.61;13%
13491901;21.81;11%
13487801;34.27;10.5%
13492101;22.84;10.5%
13492001;32.72;11%
13492201;28.79;12.5%
12082001;53.34;14%
12082101;29.64;13.5%
14115201;29.87;42%
14107901;14.85;37.5%
14309501;18.76;13.5%
794601;17.87;13.5%
11974201;24.3;12%
13082401;18.54;11.5%
15581501;19.7;11.5%
13719801;26.66;13%
14357001;28.88;12%
11883901;36.7;10.5%
11884401;38.06;11%
11884201;62.11;12%
10864501;63.22;12%
11884001;39.89;12%
13277201;49.89;12%
11884101;51.48;11.5%
10863601;36.99;11%
11883801;46.26;11.5%
7386801;51.66;11.5%
7386101;50.62;12%
9512505;61.9;14%
5121201;47.61;14%
5121101;34.28;14%
14672901;35.54;12%
14673101;38.88;12%
14673001;37.09;11.5%
12114302;23.17;43%
10043101;41.19;5.5%
11266506;15.26;13%
13316801;36.31;13%
13316701;32.29;14%
13316401;37.85;13%
13316301;28.22;12%
13011202;19.72;44%
3793602;20.7;42%
10234302;22.69;38%
11830702;22.33;40%
14669702;26.13;38%
7878702;21.24;40%
13449802;24.12;38%
10594402;25.55;38%
10594602;21.78;40%
11043502;22.12;38%
5391902;20.97;40%
14665502;25.84;38%
12165402;23.5;42%
7903902;25.57;10.2%
12039102;41.85;5.9%
10423502;25.57;10.2%
2895702;27.47;6.4%
7658902;25.57;10.2%
13537102;23.96;12%
12232502;25.57;10.2%
12471402;28.82;12%
6450502;27.61;6.7%
2895602;29.9;5.9%
10846702;27.61;6.7%
2895802;27.47;6.4%
2895902;27.61;6.7%
2896002;29.9;5.9%
14354701;23.99;48.1%
14354601;23.01;50.2%
12507301;24.54;51.8%
12507001;25.1;50.8%
8118001;16.96;46%
11362501;37.32;12.5%
12368802;19.74;40%
7924107;46.03;14%
5329701;57.53;14%
14086001;24.22;5.5%
11347601;19.43;13%
14946601;133.67;14%
15329701;236.62;13.8%
15356401;66.57;14%
15356801;161.81;14%
5050602;21.07;6.6%
14881502;101.19;9.5%
11414201;14.28;40%
9595701;24.68;13.5%
9587401;26.66;12.5%
117901;44.82;5.5%
5304305;19.68;13.5%
3433901;18.92;14%
5304405;27.07;14%
4201101;25.6;14%
5715805;30.89;14%
4201201;33.22;14%
7724701;29.61;13.5%
7724501;36.52;13.5%
14112101;14.86;13%
15514701;13.86;12.5%
14112306;11.79;13%
14112201;16.4;13%
15153701;20.22;14.5%
11045301;40.53;12.5%
11858301;22.21;10.5%
11858401;20.28;11.5%
11858201;22.21;10.5%
1958501;34.77;11.5%
1958801;41.2;11%
11362201;28.88;12%
2829001;27.77;12%
15333601;32.72;11%
6803101;30.29;11%
11650901;40.59;11%
11362301;27.87;11%
14558601;19.7;11.5%
12202;13.78;40%
12201;13.03;40%
3576601;24.75;43%
3576701;24.75;43%
13920901;24.75;43%
3576501;24.75;43%
14384501;21.1;12%
15452901;25.03;13%
14257901;20.59;11%
14222501;27.13;13%
14222601;21.72;13.5%
3665001;17.06;12.5%
9747601;19.99;12%
3872205;21.11;12%
7425107;22.22;12%
3665101;14.92;12.5%
12427001;34.56;13.5%
161801;24.68;13.5%
10499401;47.4;13.5%
3872301;18.45;13%
12640901;13.86;12.5%
15258901;46.05;13%
14070501;46.05;13%
10496402;16.03;5.5%
13518501;20.99;44%
13603102;26.17;38%
13603401;22.39;44%
13603202;44.53;42%
13603302;44.53;42%
13518601;19.89;44%
14603502;null;0%
13385002;null;0%
15543204;null;0%
14859301;26.39;40%
14859401;22.28;57%
14859201;25.48;42%
14859501;22.28;57%
15231901;20.18;46%
13352601;14.28;40%
7686301;21.75;40%
14220401;25.23;45%
12790801;21.71;46%
13173201;27.62;46.4%
10521701;49.37;13.5%
8126201;28.71;13%
7961701;118.51;13.5%
7961901;41.47;13.5%
10966001;38.39;12.5%
690705;73.16;15%
1846401;70.39;15%
13790601;79.11;15%
13790705;80;15%
14883805;86.67;15%
14883901;87.11;15%
3295201;30.07;14.5%
690905;29.98;14.5%
4056902;110.62;13.5%
10912401;28.6;13.5%
13670501;28.5;14%
14526101;32.66;13%
14526401;47.24;14%
12088401;48.4;13.5%
13183701;45.59;14.5%
12088501;52.06;13.5%
13183901;53.06;13.5%
14526001;49.35;14.5%
12088801;52.33;12.5%
13183601;45.59;14.5%
13183801;49.01;13.5%
10234201;51.2;13.5%
10912501;19.53;13.5%
11754001;36.5;18%
14526201;47.24;14%
14526301;47.24;14%
13799001;28.58;14%
10638001;31.42;20%
14174001;31.78;13%
11748901;47.61;14%
14174101;41.02;13%
14174302;67.67;13%
14174201;39.5;13.5%
14487606;10.66;12.5%
11897501;18.07;12.5%
13391701;23.18;13.8%
13391901;32.37;14%
13391501;27.58;14.5%
4599505;21.9;14%
4599501;19.99;14%
4599601;29.42;14.5%
15301;13.57;40%
14013101;15.6;50%
4810606;17.02;9.5%
2031501;21.65;8%
11727101;55;12%
11915101;65.56;12%
11915201;76.67;12%
11914801;45.56;12%
12968601;61.11;12%
11914901;58.89;12%
11915001;62.78;12%
11914705;53.89;12%
12968402;63.33;12%
12968501;53.89;12%
12968301;50;12%
2147601;36.1;14%
2147701;42.38;14%
11150601;64.44;12%
10268901;332.83;12%
11536601;166.7;12%
11099801;188.89;12%
11099901;144.42;12%
13960501;16.66;12%
15008801;25.07;12.5%
15008501;26.66;13%
15008601;27.18;13%
15008701;18.45;13%
15394401;30.39;12.5%
12970104;null;0%
15352501;30.76;13%
15352801;66.66;13%
15352601;66.66;13%
15352701;46.14;13%
15424701;26.27;10.5%
10787401;41.65;8%
9196101;25;12%
12360001;26.11;12%
10708501;20.56;12%
12380201;19.99;12%
5219701;20.56;12%
12042001;18.09;14%
15324306;11.54;13%
15312101;13.99;12%
13999401;97.73;13.5%
13999501;79.88;13%
14063201;15.32;12%
15502501;16.65;10%
5819801;46.14;13%
3043401;24.52;12.5%
3043601;82.04;13%
10789506;12.22;12%
15601906;13.33;12%
7850001;15.54;12%
4264506;18.89;12%
3160901;19.43;12%
13739201;18.3;14.5%
13739401;18.95;14%
14375701;29.62;13.5%
6863501;40.57;11.5%
6863505;41.44;11.5%
7814405;38.88;12%
7814401;38.32;12%
7814301;33.89;11.8%
7814501;30.13;11.5%
15418201;76.56;12%
14181501;83.22;12%
11269601;62.11;12%
11269701;62.11;12%
1654601;66.55;11%
9789601;38.67;12%
7835101;35.69;13%
1654501;45.76;12.5%
7834501;38.72;12.5%
13698901;37.23;13%
803101;286.67;12%
12402701;45.44;13%
13699101;45.04;13.5%
13699001;33.92;12.5%
13696801;42.03;13%
13696901;42.2;12%
13697001;47.76;12%
12793001;41.28;10.5%
12792801;35.74;12.5%
13600601;42.11;12.5%
3399501;53.54;40%
15532201;94.65;7%
15531901;72.87;7.5%
447701;45.89;14.5%
2263201;29.23;14.5%
14718501;32.57;14%
14718601;52.05;14.5%
12663605;22.22;15%
9735701;21.51;15%
14718401;33.52;14%
14168001;27.49;14.5%
11285402;112.67;18%
11665601;10.33;13.5%
9264201;30.7;18.5%
10620201;45.86;12.5%
12040106;13.86;12.5%
5977006;20.94;13%
1151305;15.38;13%
1151302;15.36;13%
1151304;20.28;13%
1151301;12.81;13%
3339706;11.28;13%
4979206;14.39;12.5%
5977106;24.74;11%
792306;13.33;11%
3358304;22.92;11.5%
13889604;42.64;5.5%
13081501;15.43;12%
11707101;15.43;12%
12783804;34.11;5.5%
3883904;30.9;10.5%
1222201;16.37;10.5%
10090604;29.5;11%
3793301;15.62;11%
4106704;19.53;13.5%
4106701;13.32;13.5%
4106706;12;12.5%
13401301;26.16;14%
14571501;30.85;14%
2035701;20.44;15%
5043901;37.94;13%
662701;25.67;13.5%
5818501;25.77;15%
5378701;49.51;14%
4107002;40.87;15%
786401;17.13;14%
5378601;17.77;13.5%
14107201;16.08;43%
5036401;22.7;45%
14607;15.62;40%
8135204;19.36;40%
7855803;27.45;40%
5884102;16.4;40%
14601;15.35;40%
14973301;17.55;35%
13127602;19.58;35%
615903;31.37;35%
615901;17.55;35%
13576702;51.48;14.5%
14826902;51.03;14.1%
13305802;53.31;12%
14337802;54.48;13.7%
13839902;51.66;12.9%
13306002;59.8;12.9%
14337702;57.95;13.8%
13576802;61.18;12.2%
15203702;55.84;13.6%
14337602;53.31;14%
15459502;69.27;12.7%
14925502;59.24;13.5%
12122602;50.74;6.5%
14826802;48.61;14.8%
12637902;73.3;6%
14337902;68.41;11.3%
13839702;56.98;13.1%
12865702;43.15;13.9%
14337502;72.49;11.4%
12647902;82.31;5.1%
5072101;19.48;13%
5072301;21.72;13.5%
1169302;14.35;12.8%
1169301;11.97;12.8%
4552201;11.74;14.3%
10766701;14.05;12.3%
4552101;11.42;14%
289501;13.44;11.8%
151302;13.79;13.9%
151301;11.69;13.9%
4542401;14.17;14.1%
3216904;20.39;11.5%
3216901;13.79;11.5%
4449101;14.25;11.5%
11015901;178.4;0.5%
10018501;173.07;0.5%
14585002;null;0%
11016001;178.4;0.5%
14371501;19.93;6%
5343801;21.28;7.5%
14371601;18.4;6.5%
4551405;28.17;40%
4551402;32.5;40%
1373501;15.18;40%
3217202;32.5;40%
4435702;32.5;40%
13885701;41.21;14.4%
13885901;34.63;12.9%
13885601;37.08;13.3%
13885801;32.27;14.6%
9262701;96.66;12%
3463501;63.32;12%
13718201;50.67;12.5%
13718301;50.67;12.5%
13718401;50.67;12.5%
12312301;198.39;12.5%
12312501;134.38;12.5%
13597001;111.43;12.5%
14976101;144.43;12%
14976005;141.16;12%
12312801;74.66;12.5%
12312705;89.59;12.5%
13596905;87.99;12.5%
13596801;74.66;12.5%
14975901;82.12;12.5%
14975805;90.66;12.5%
9646101;202.66;12.5%
14976201;225.59;12.5%
13596601;181.32;12.5%
13596701;186.66;12.5%
15305401;56.69;14%
15306401;75.7;14%
11612101;58.29;13.5%
11611201;58.29;13.5%
12734601;56.95;14%
12734501;74;13.5%
12734701;56.95;14%
15308901;55.23;13.5%
11610601;261.75;13.5%
15306301;384.05;14%
12736301;284.76;14%
12736701;331.99;14%
10749901;256.43;13%
15306001;398.27;13.5%
15305801;317.48;13.5%
11612801;311.13;13.5%
15305901;117.84;13%
15306501;348.89;13.5%
15305701;113.46;13.5%
11610101;88.81;13.5%
11613001;88.83;13.5%
12735901;295.33;13.5%
12734801;90.38;14%
12735801;93.75;13.5%
10749201;196.54;13.5%
11612301;184.71;13.5%
12736801;227.62;14%
15305601;246.41;13.5%
15307401;91.78;13%
15304401;88.39;13.5%
15306801;497.04;13.5%
15307501;104.28;14%
11612501;95.82;13.5%
12734901;94.76;14%
12735001;94.76;14%
12735105;95;14%
11610301;150.14;13.5%
12736401;177.3;13.5%
15307001;197.03;13.5%
10748101;90.86;13.5%
10747901;88.89;13.5%
11612401;95.82;13.5%
11612605;95.82;13.5%
15306701;39.48;13.5%
15307701;177.26;13.5%
11611501;95.82;13.5%
11611601;95.82;13.5%
11611001;81.01;13.5%
12736901;98.29;13.5%
10748501;93.73;13.5%
15307601;112.3;13%
10748201;93.73;13.5%
12737001;94.76;14%
12736205;94.76;14%
15307101;108.13;13.5%
10748901;83.95;13.5%
12737101;85.62;14%
11612201;251.87;13.5%
12737301;247.34;14.5%
15307301;328.23;13.5%
12737401;219.75;14.5%
15307801;41.01;13%
15306601;93.71;13.5%
15307201;102.04;13%
12735301;43.46;13.5%
15306201;98.26;13.5%
11610001;85.95;13.5%
11610901;86.93;13.5%
11610201;83.97;13.5%
10522501;83.95;13.5%
12736001;88.81;13.5%
12736101;86.83;13.5%
15308601;90.36;14%
12737501;88.48;14%
11613101;81.01;13.5%
15308201;83.84;13.5%
15340101;98.26;13.5%
15306101;137.77;13.5%
15309001;112.3;13%
15308001;98.26;13.5%
15308401;102.04;13%
6993301;59.48;13%
12734401;44.35;13.5%
12735401;49.28;13.5%
15305501;66.17;14%
11610701;66.19;13.5%
12735601;68.66;13.5%
10748601;69.76;13%
15308801;78.51;13.5%
12735501;68.66;13.5%
15308701;78.51;13.5%
15308301;68.63;13.5%
7769301;34.46;13.5%
9137701;32.58;13.5%
8180901;19.76;14.5%
3974405;23.08;13%
3974406;17.09;13%
3974401;23.88;12%
15118201;30.76;13%
14101801;22.21;12%
14101701;22.21;12%
13484701;32.17;14.5%
10341101;29.73;13%
10341301;39.99;13%
6888601;43.59;13%
12910201;17.77;12%
4033201;38.72;38%
11105601;46.59;12.3%
13510501;19.86;43%
7791201;22.11;12%
14448801;33.59;12.5%
15534301;28.87;11.5%
15533901;44.3;9%
10451301;27.95;12.5%
14449001;40.5;13%
15534401;42.87;13%
15534001;37.78;9%
13018501;36.39;13%
14448901;37.86;12.5%
14448701;38.86;13%
863102;59.98;13%
14983702;20.54;40%
11950801;25.56;12%
13609701;30.75;11.7%
16207;13.33;40%
16202;16.42;40%
16201;14.82;40%
3117403;24.95;40%
949302;16.24;40%
4403001;14.62;40%
4611501;34.13;46%
14866901;34.13;46%
187201;17.85;40%
10766601;16.78;40%
3913901;16.78;40%
12799301;19.52;30%
7778301;16.78;40%
13404701;80.96;13.5%
7702901;71.12;15%
13404501;44.41;13.5%
14599501;44.42;13.5%
11212401;33.93;11%
14414601;35.14;11%
12837401;22.02;11.5%
11443401;17.96;11.5%
14393501;16.22;11.5%
15158601;25.54;12%
15158501;26.65;11%
13936101;27.99;10%
11340701;18.45;13%
11340501;17.77;13.5%
6251901;24.82;14.5%
15419301;65.76;13%
15419001;45.12;13%
15419401;35.74;13%
15419601;55.74;14%
13224901;22.55;13%
11384301;37.43;13.5%
14484801;104.67;14%
11873501;44.69;12.5%
11384101;59.16;13.5%
6680401;27.77;12%
14297701;17.56;11%
14257001;21.54;13%
13867701;35.19;12.5%
5691501;13.55;11.5%
9132201;16.8;11.5%
11354001;17.56;11%
11353901;18.17;11%
13339701;18.3;13%
8319401;25.61;13%
8319501;15.84;13%
13311302;20.52;38%
13481201;32.21;12%
14659901;26.66;13.5%
12730801;47.6;13%
12730901;47.6;13%
12730701;47.6;13%
15301501;54.76;13%
14368801;37.67;12%
10751601;67.08;13%
1462801;100.07;13.7%
1461501;29.53;13.5%
1462001;36.27;12.5%
15120201;33.12;15.5%
14726001;82.29;13.7%
529201;24.61;13%
529701;25.59;12.5%
10117901;29.32;15%
13328601;65.63;12.5%
13328701;42.42;12.5%
3590601;29.16;13%
8037201;45;40%
14980502;42.31;42.5%
15270702;208.64;44%
11284702;55.79;43%
1157801;27.85;46%
10583701;27.18;42%
1061801;32.86;40%
8175802;82.57;46%
3296001;100.71;40%
134301;45.64;41%
14892001;32.86;40%
4745001;30.2;17%
4744901;23.51;17%
11808801;42.86;44%
14164101;45.83;13.5%
14711901;45.83;13.5%
14712201;63.38;13.8%
12719001;23.57;13%
12718701;27.72;12.5%
15084401;25.67;13.5%
15085901;25.67;13.5%
10944301;17.59;12.5%
12170701;20.26;12.5%
10719201;97.7;55%
9361201;14.29;14%
8292201;21.32;12.5%
15385505;22.22;12%
13737405;47.42;13%
9562605;50.76;13%
9562505;50.76;13%
14984605;47.13;14%
13701105;48.88;13.5%
13737305;40.73;13.5%
9361301;18.76;13.5%
14138101;31.42;14%
14687501;34.86;13%
9361401;40.45;14.5%
786801;23.9;14.5%
3347401;28.5;14.5%
12285601;30.16;14.5%
14568601;85.7;14%
877301;64.1;13%
1502101;24.68;13.5%
14662901;33.06;12.5%
9150601;31.99;12.5%
14662801;31.99;12.5%
1097801;30.76;13%
9150501;42.66;12.5%
14659001;42.04;13%
7161501;36.26;12.5%
8125901;39.99;13%
2285501;15.06;11.5%
15490601;21.32;12.5%
15490501;22.92;12.5%
15490301;30.76;13%
15490401;35.9;13%
15485601;16.31;13%
15490701;21.79;13%
15490201;20;13%
8318401;31.63;14.5%
14492701;28.87;14.5%
8318101;32.09;14.5%
11713501;17.06;12.5%
14969905;79.01;13.5%
477401;22.05;13%
14312901;44.35;13.5%
13375901;76.12;14%
13375701;39.46;13.5%
11051001;38.85;13%
11051101;32.72;13%
11018801;50.15;13%
11050701;47.08;13%
15386401;27.77;12%
15374301;24.43;12%
15416801;38.09;14%
15405301;76.18;14%
15416901;61.9;14%
15417001;76.18;14%
7353901;27.72;12.5%
1060301;28.88;12%
7353401;64.36;14.5%
13981106;10.85;13.5%
12608401;33.5;13%
12793401;33.08;12.5%
13689001;26.66;12.5%
13665001;90.98;13%
13664801;56.94;13%
13665201;53.37;13%
13664501;56.39;13%
13664401;59.63;13%
13664601;53.26;13%
6246501;76.54;13.5%
1141101;59.16;13.5%
3270901;19.56;13.5%
13394701;31.51;14%
14568301;33.5;14%
15636601;93.82;13.5%
13394601;88.88;13.5%
13395801;36.77;14.5%
14969805;34.56;13.5%
13560402;93.82;44.3%
15543501;52.03;45%
10657401;28.18;40%
13776102;60.2;49.8%
15543801;125.08;47.4%
13803102;273.95;40.5%
12638001;39.99;13%
281601;25.54;12%
5939201;24.61;13%
15227701;34.88;12.5%
15228001;35.46;12.5%
1535601;30.73;13%
15227901;89.31;13%
15227601;83.73;13%
15227801;83.73;13%
12674401;98.57;13.5%
7438601;28.71;13%
15220101;171.47;13.5%
12700801;174.07;14%
15219201;191.93;13.5%
15219401;188.56;13.5%
12701201;264.68;14%
15220001;318.32;13.5%
2831001;34.07;13%
15052201;70.86;13.5%
11958801;84.91;13.5%
1867701;69.78;13%
11156401;84.91;13.5%
11155701;55.36;13.5%
11958701;374.07;13.5%
11157801;42.44;13%
14305101;46.35;13%
11958601;37.98;13%
14305301;40.85;13.5%
10535401;41.38;13.5%
15276401;64.09;13.5%
12705001;38.42;13.5%
15227201;36.04;13.5%
519701;35.19;12.5%
11742001;32.17;14.5%
1820001;46.14;13%
3133801;38.96;13%
7822401;67.68;13%
5077105;27.73;12.5%
5077101;26.66;12.5%
6978101;22.39;12.5%
9106401;30.92;12.5%
5804101;20.16;12.5%
5804001;21.23;12.5%
7161601;34.12;12.5%
12370801;34.39;45%
10412801;59.29;13.7%
13195201;39.51;14.5%
14027501;33.38;14%
12993001;14.44;12%
15500801;22.4;12.5%
12993301;20.27;12.5%
12993201;20.27;12.5%
12993101;29.33;12.5%
12992901;23.89;12%
12993401;24.1;13%
11720401;55.75;11%
10476001;30.76;13%
10476201;30.76;13%
10476401;49.22;13%
10476501;82.04;13%
10476101;46.15;13%
14669901;58.89;12%
14670001;76.67;12%
14669801;55.54;12%
14670101;76.67;12%
11706201;17.42;14%
11706101;15.9;13%
11708601;14.76;14%
5321201;17.14;40%
13470302;17.49;40%
11807608;41.63;40%
5224701;21.21;11%
1356201;14.47;37.5%
3428501;13.06;37.5%
13066302;13.7;37.5%
15237301;51.19;12.5%
15237401;34.43;12%
4073501;35.38;13%
14722201;61.03;13%
4068901;34.36;13%
14694101;33.33;13%
4142501;34.36;13%
4068801;35.73;12.5%
4093701;61.03;13%
